Issue Key,Issue Type,Summary,Status,Priority,Parent Key,Parent Summary,Labels,Sprint,Blocked By,Blocks,Description
TFSP-7,Epic,Structured Ticket Intake and Classification,To Do,High,,,intake-classification,,,," Objective

Provide a guided ticket intake and classification process for support tickets.

 Context

The goal is to make sure support tickets enter the workflow with enough business information, consistent categories, and clear review flags. This work is part of Release 1 — Core. It relates to HLR-01, HLR-02, HLR-04, and HLR-08, as well as FR-01 to FR-07 and FR-09 to FR-15.

 Scope

Included:

* Collect structured issue, impact, workaround, and customer-account information
* Validate required information
* Retrieve customer organisation and subscription details
* Assign one of the seven approved ticket categories
* Record category changes for audit purposes
* Provide ticket-creation confirmation to the customer

Not included:

* N/A

 Success criteria

* Tickets are created with structured issue, impact, workaround, and customer-account information
* Required information is validated
* Customer organisation and subscription details are retrieved
* Incomplete submissions are flagged as *Information Required*
* Unidentified accounts are flagged as *Account Verification Required*
* Tickets are assigned one of the seven approved categories
* Uncertain classifications are flagged as *Category Review Required*
* Category changes are recorded for audit purposes
* Customers receive ticket-creation confirmation

 Risks and dependencies

* Depends on retrieving customer organisation and subscription details
* Depends on having the seven approved ticket categories available
* Depends on clear rules for identifying incomplete submissions, unidentified accounts, and uncertain classifications

 Other information

* MoSCoW priority: Must Have
* Release: Release 1 — Core"
TFSP-8,Story,Submit structured support ticket information,To Do,High,TFSP-7,Structured Ticket Intake and Classification,structured-intake,Intake and Triage Foundation,,TFSP-9; TFSP-11; TFSP-18," Summary

As a customer, I want to provide structured information about my support issue so the support team can understand and process my request correctly.

 Context

The issue is about a support intake chatbot that collects and validates customer issue details before creating a ticket.

 Acceptance criteria

* The intake chatbot captures:
** issue description
** affected users
** impact on core functionality
** workaround availability
** business email
* The system validates the required information and clearly identifies missing or unclear details.
* When the business email matches an account, the system retrieves:
** customer organization
** subscription tier
** plan status
* If the account cannot be identified, the ticket displays *Account Verification Required* and receives a provisional priority based on the reported business impact until the account is verified.
* An incomplete submission is still created as a ticket and displays *Information Required* instead of being rejected. The assigned agent can request and update the missing information.
* After ticket creation, the customer receives:
** the ticket ID
** assigned or provisional priority
** expected first-response time

 Other information

* Related requirements:
** HLR-01, HLR-04
** FR-01 to FR-07, FR-09
* Related UAT:
** UAT-04"
TFSP-9,Story,Recommend and review ticket category,To Do,High,TFSP-7,Structured Ticket Intake and Classification,ticket-classification,Intake and Triage Foundation,TFSP-8,TFSP-13," Summary

As a Support Agent, I want the system to recommend a ticket category and flag uncertain classifications so that tickets can be reviewed and routed consistently.

 Context

The feature is meant to support consistent ticket routing. It applies after complete ticket information is submitted.

 Acceptance criteria

# The system uses the issue description and structured intake responses to recommend one of the seven approved ticket categories after complete ticket information is submitted.
# Uncertain or unclear classifications are flagged for manual review.
# The ticket displays “Category Review Required” until the review is completed.
# When an agent changes the automatically assigned category, the system records:
#* the original category
#* the final category
#* the agent
#* the date and time of the change
# The assigned category is displayed on the ticket record and in the agent queue without requiring the agent to open the ticket.

 Other information

* Related high-level requirements:
** HLR-02, HLR-04, HLR-11
* Related functional requirements:
** FR-10 to FR-14
* Related UAT:
** UAT-03"
TFSP-10,Epic,"Priority, Routing and Assignment",To Do,High,,,,,,," Objective

Assign each ticket a consistent severity and priority, then route it to an eligible Support Agent using approved business rules.

 Context

This epic covers core priority assignment and basic routing for support tickets.  
It aligns with related high-level requirements HLR-03, HLR-04, HLR-05, and HLR-11, plus primary functional requirements FR-08 and FR-16 to FR-33.  
It also follows related rules PM-01 to PM-04, BR-01 to BR-06, KD-01 to KD-05, and ER-14.

 Scope

Included:

* Classify severity as Critical, High, Medium, or Low
* Apply priority-override rules before the standard priority matrix
* Assign P1, P2, or P3 using severity, customer impact, and subscription tier
* Flag contradictory information as Priority Review Required
* Assign a provisional higher priority until agent review
* Record priority changes for audit purposes
* Recalculate routing and SLA deadlines after a priority change
* Route tickets using category skill, availability, workload, and P1 eligibility
* Display Manual Assignment Required when no eligible P1 agent is available
* Alert the Team Lead when manual P1 assignment is required

Not included:

* FR-29, which is planned for Release 2 — Enhancement
* Experience-based routing tie-breaker, which is listed as a Should Have

 Success criteria

* Each ticket is assigned a consistent severity and priority
* Priority-override rules are applied before the standard priority matrix
* Tickets are assigned P1, P2, or P3 based on the defined inputs
* Contradictory information is flagged as Priority Review Required
* A provisional higher priority is assigned until agent review
* Priority changes are recorded for audit purposes
* Routing and SLA deadlines are recalculated after any priority change
* Tickets are routed using category skill, availability, workload, and P1 eligibility
* Manual Assignment Required is shown when no eligible P1 agent is available
* The Team Lead is alerted when manual P1 assignment is required

 Risks and dependencies

* Correct implementation depends on the approved business rules
* Routing depends on accurate agent category skill, availability, workload, and P1 eligibility data
* SLA recalculation depends on priority change handling working correctly
* Manual P1 assignment requires Team Lead alerting to function as expected
* Release 2 work is dependent on FR-29 being handled separately

 Other information

* MoSCoW priority: Must Have — core priority assignment and basic routing
* MoSCoW priority: Should Have — experience-based routing tie-breaker
* Release: Release 1 — Core
* FR-29 planned for Release 2 — Enhancement"
TFSP-11,Story,Assign severity and priority using approved rules,To Do,High,TFSP-10,"Priority, Routing and Assignment",automatic-priority,Intake and Triage Foundation,TFSP-8,TFSP-13; TFSP-12; TFSP-15," Summary

As a Support Agent, I want the system to assign ticket severity and priority using approved business rules so that urgent tickets are identified consistently..

 Context

This user story is for Support Agents. It is part of Release 1 - Core and is marked as a Must Have.

 Acceptance criteria

* The system classifies severity as Critical, High, Medium, or Low.
* Severity must be based on:
** affected users
** core-function impact
** workaround availability
** issue details
* The system checks approved priority-override rules before applying the standard priority matrix.
* Complete organisation-wide blockage without a workaround must be assigned P1, regardless of subscription tier.
* Organisation-wide or multi-user authentication failure must be assigned P1, regardless of subscription tier.
* When no override applies, the system combines severity and subscription tier to assign P1, P2, or P3 using the approved priority matrix.
* The assigned priority must be visible on the ticket and in the agent queue without opening the ticket.
* Ticket category alone must not determine priority.

 Other information

* Related requirements:
** HLR-03
** FR-15 to FR-19
** FR-22
* Related rules:
** PM-01 to PM-04
** BR-01 to BR-06
* Related NFR:
** NFR-01
* Related UAT:
** UAT-01"
TFSP-12,Story,Review provisional priority and record priority changes,To Do,High,TFSP-10,"Priority, Routing and Assignment",priority-review,,TFSP-11,," Summary

As a Support Agent, I want conflicting ticket information and provisional priorities to be flagged so that I can review and confirm the correct priority.

 Context

This issue covers cases where the written issue description conflicts with the customer’s structured responses. It also covers provisional priority handling, priority changes, and related SLA and routing updates.

 Acceptance criteria

# When the written issue description conflicts with the customer’s structured responses, the ticket displays *Priority Review Required*.
# When the detected impact appears higher than the selected impact, the system assigns a provisional higher priority and notifies the assigned agent.
# A keyword alone cannot permanently determine the final ticket priority.
# The agent can confirm or correct the provisional priority using the approved priority rules.
# When priority changes, the system re-evaluates routing and recalculates the applicable SLA deadline from the original SLA start time.
# A downgrade from provisional P1 requires a documented reason and Team Lead notification.
# The system records:
#* customer-selected impact
#* system-assigned severity
#* initial priority
#* final priority
#* applied rule
#* reason for change
#* person making the change
#* date and time

 Other information

* Related requirements: HLR-03, HLR-04, HLR-11, FR-08, FR-20, FR-21, FR-23, FR-24
* Related rules: KD-01 to KD-05, SLA-07
* Related UAT: UAT-02
* MoSCoW priority: Must Have
* Release: Release 1 — Core"
TFSP-13,Story,Route ticket to an eligible Support Agent,To Do,High,TFSP-10,"Priority, Routing and Assignment",agent-routing,,TFSP-9; TFSP-11,TFSP-16; TFSP-21," Summary

As a Team Lead, I want tickets to be routed to suitable and available Support Agents so that assignments are consistent and P1 tickets are handled only by eligible agents.

 Context

This issue is for a Team Lead. Tickets should be assigned automatically after the ticket category and priority are set.  
The routing should use agent suitability and availability rules.

Related references:

* HLR-05, HLR-11
* FR-25 to FR-33
* ER-14
* UAT-07

Priority and release:

* MoSCoW priority: Must Have — basic routing
* MoSCoW priority: Should Have — experience-based tie-breaking and assignment re-evaluation
* Release 1 — Core
* FR-29 and FR-32 planned for Release 2 — Enhancement

 Acceptance criteria

# Automatic routing starts after the ticket category and priority have been assigned.
# The system considers:
#* category skill
#* current availability
#* active workload
#* priority-handling eligibility
when selecting an agent.
# Only agents available during the active support shift can receive new tickets.
# When multiple eligible agents are available, the system prioritizes the agent with the lower active workload.
# P1 tickets are assigned only to agents authorized to handle P1 tickets.
# If no eligible P1 agent is available, the ticket displays *Manual Assignment Required* and the Team Lead is alerted immediately.
# The Team Lead can manually assign or reassign the ticket when automatic routing cannot be completed.
# The system records:
#* assigned agent
#* previous owner
#* new owner
#* assignment reason
#* date and time of an ownership change
# The assigned agent’s name is recorded on the ticket and visible to the Team Lead. The assigned agent receives a notification when a new ticket enters their queue.
# The system re-evaluates the assignment when:
#* the ticket category changes
#* the ticket priority changes
#* the assigned agent becomes unavailable
#* the Team Lead requests reassignment

 Other information

User story:

As a Team Lead, I want tickets to be assigned to suitable and available Support Agents so that tickets are handled consistently without unsafe or unnecessary assignments."
TFSP-14,Epic,SLA Monitoring and Escalation,To Do,High,,,sla-escalation,,,," Objective

Track ticket response and resolution deadlines, and apply consistent escalation rules when tickets are at risk of breaching SLA.

 Context

This work covers SLA monitoring for tickets. It uses approved business hours and includes tracking for first-response, workaround, and resolution targets. The issue is marked as Must Have for Release 1 — Core.

 Scope

Included:

* Calculate SLA deadlines using approved business hours
* Track first-response, workaround, and resolution targets
* Display deadlines, time remaining, and current SLA status
* Mark tickets At Risk at approved warning thresholds
* Alert the Team Lead before an SLA breach
* Record and escalate response and resolution breaches
* Handle repeated customer follow-ups
* Support senior escalation for qualifying Enterprise P1 tickets
* Pause resolution SLA only for approved reasons
* Preserve warning, breach, and escalation history

Not included:

* N/A

 Success criteria

* SLA deadlines are calculated using approved business hours
* First-response, workaround, and resolution targets are tracked
* Tickets show deadlines, time remaining, and current SLA status
* Tickets are marked At Risk at the approved warning thresholds
* The Team Lead is alerted before an SLA breach
* Response and resolution breaches are recorded and escalated
* Repeated customer follow-ups are handled
* Senior escalation is supported for qualifying Enterprise P1 tickets
* Resolution SLA is paused only for approved reasons
* Warning, breach, and escalation history is preserved

 Risks and dependencies

* Depends on approved business hours
* Depends on approved warning thresholds
* Depends on approved reasons for pausing the resolution SLA
* Depends on rules for senior escalation of qualifying Enterprise P1 tickets
* Depends on related requirements and rules:
** HLR-06, HLR-07, HLR-11
** FR-34 to FR-48
** ER-01 to ER-17
** SLA-01 to SLA-09

 Other information

* Issue name: SLA Monitoring and Escalation
* MoSCoW priority: Must Have
* Release: Release 1 — Core"
TFSP-15,Story,Track SLA deadlines and provide early warnings,To Do,High,TFSP-14,SLA Monitoring and Escalation,sla-monitoring,,TFSP-11,TFSP-16; TFSP-21," Summary

As a Team Lead, I want SLA deadlines and early-warning indicators to be visible so that I can intervene before avoidable breaches occur.

 Context

This issue is related to tracking SLA deadlines for tickets. It is part of Release 1 — Core and has a MoSCoW priority of Must Have.

 Acceptance criteria

# The system calculates the SLA start time using approved business hours and excludes company holidays.
# The system calculates and displays the first response and resolution deadlines according to ticket priority. It also applies the approved workaround targets: P1 - 4 business hours where possible, P2 - 8 business hours where possible, and P3 - no workaround target.
# Active tickets display the time remaining, any warning or breach indicator, and the current SLA status: Normal, At Risk, Met, Breached, or Paused where applicable.
# A P1 ticket without a personalised first response is marked At Risk after 10 minutes, and the Team Lead is alerted.
# P2 and P3 tickets are marked At Risk, and the Team Lead is alerted after 3 and 6 business hours respectively when no personalised first response has been provided.
# An unresolved ticket is marked At Risk and the Team Lead is alerted after 10 business hours for P1, 24 business hours for P2, or 40 business hours for P3. Approved resolution-SLA pause time is excluded.
# An automated ticket acknowledgement does not count as a personalised first response.
# Customer follow-ups do not restart or extend the SLA timer.

 Other information

Related requirements:

* HLR-06, HLR-07
* FR-34 to FR-37
* FR-39

Related rules:

* ER-01 to ER-03
* ER-07 to ER-09
* SLA-01 to SLA-03
* SLA-08, SLA-09

Related UAT:

* UAT-05

MoSCoW priority:

* Must Have

Release:

* Release 1 — Core"
TFSP-16,Story,Escalate breached and exceptional tickets,To Do,High,TFSP-14,SLA Monitoring and Escalation,ticket-escalation,,TFSP-15; TFSP-13,TFSP-18; TFSP-21," Summary

Escalate qualifying SLA breaches and operational exceptions to the Team Lead so serious support risks receive timely attention.

User story:

As a Team Lead, I want qualifying SLA breaches and operational exceptions to be escalated consistently so that serious support risks receive timely attention.

 Acceptance criteria

# A ticket is formally escalated to the Team Lead when its first-response SLA is breached:
#* P1: 15 minutes
#* P2: 4 business hours
#* P3: 8 business hours
# A ticket is formally escalated when its resolution SLA is breached:
#* P1: 12 business hours
#* P2: 30 business hours
#* P3: 48 business hours
# A third customer follow-up within four hours of ticket creation triggers Team Lead escalation, but does not automatically change the ticket priority.
# If no eligible P1 agent is available, the Team Lead is alerted immediately and the ticket displays Manual Assignment Required.
# An Enterprise P1 ticket is escalated to the Customer Support Head when the Team Lead requests senior involvement or when it remains unresolved for two hours after Team Lead escalation.
# The Team Lead can review priority, reassign ownership, record actions, and provide an updated customer timeline.
# Every escalation records:
#* reason
#* level
#* date and time
#* notified person
#* current owner
#* action taken
#* closure details
# An SLA breach remains recorded even if the ticket is later responded to or resolved.
# The resolution SLA can be paused only when required customer information is pending or resolution depends on an approved external third party. A P1 SLA pause requires Team Lead approval.
# For every SLA pause, the system records the pause reason, pause start time, resume time and person approving the pause.
# When a ticket priority is upgraded, the system recalculates the applicable SLA deadline from the original SLA start time. The SLA timer does not restart.

 Other information

Related requirements:

* HLR-05, HLR-06, HLR-07, HLR-11 - FR-30, FR-38, FR-40 to FR-48

Rule mapping:

* ER-04 to ER-06
* ER-10 to ER-17

Related UAT:

* UAT-06, UAT-07

MoSCoW priority:

* Must Have

Release:

* Release 1 — Core"
